net1,stn1,net2,stn2,dist_km,technique,converged,best_delta_km_s,bad_quality_fraction,n_candidate_crossings,n_accepted_picks,freq_coverage_fraction,mean_amp_ratio,n_templates_converged,n_templates_scanned,matlab_coh_num,matlab_rel_l2_error,runtime_s,error
XV,LAHA,XV,MARO,839.1389937300855,Mspec,False,,0.9940476190476191,168,0,0.0,,0,33,,,1070.290448665619,
XV,LAHA,XV,MARO,839.1389937300855,MspecBestK,False,,0.9631901840490797,326,24,0.0,197.72765855518983,0,33,,,925.2781631946564,
XV,LAHA,XV,MARO,839.1389937300855,single-taper,False,,0.6665118439386902,2153,9,0.0,1.5331493848631739,0,33,2355.0,5.648876793968569e-13,231.5013449192047,
XV,LAHA,XV,MKVA,92.08806281530187,FastMspec,True,0.350000000000001,0.6666666666666666,63,352,0.576271186440678,inf,21,33,5655.0,0.0011013402020879045,1049.6722359657288,
XV,LAHA,XV,MKVA,92.08806281530187,Mspec,True,0.400000000000001,0.5517241379310345,29,349,0.7719298245614035,inf,23,33,,,3274.0360321998596,
XV,LAHA,XV,MKVA,92.08806281530187,MspecBestK,True,0.350000000000001,0.6440677966101694,59,377,0.576271186440678,inf,21,33,,,1305.254742383957,
XV,LAHA,XV,MKVA,92.08806281530187,single-taper,False,,0.9331619537275064,778,0,0.0,,0,33,5655.0,1.1590748365581974e-13,148.94043064117432,
XV,LAHA,XV,MMBE,1052.0270518152988,FastMspec,False,,0.950561797752809,445,12,0.0,13.87707909933601,0,33,10380.0,0.005249094495091073,1196.4907240867615,
XV,LAHA,XV,MMBE,1052.0270518152988,Mspec,False,,0.9953488372093023,215,1,0.0,6.40438922097597,0,33,,,4169.482959270477,
XV,LAHA,XV,MMBE,1052.0270518152988,MspecBestK,False,,0.9560439560439561,455,21,0.0,14.064475924168448,0,33,,,1657.7981441020966,
XV,LAHA,XV,MMBE,1052.0270518152988,single-taper,False,,0.6443974630021142,2365,13,0.0,1.207919212996344,0,33,10380.0,3.3220846762809298e-12,648.814195394516,
XV,LAHA,XV,SOLA,187.97185034054607,FastMspec,False,,0.9696969696969697,165,0,0.0,,0,33,1620.0,1.8172805603900654e-08,221.7052240371704,
XV,LAHA,XV,SOLA,187.97185034054607,Mspec,True,0.7000000000000013,0.7377049180327869,61,107,0.21875,7.098327386758434,10,33,,,762.2082812786102,
XV,LAHA,XV,SOLA,187.97185034054607,MspecBestK,False,,0.968944099378882,161,0,0.0,,0,33,,,192.01951694488525,
XV,LAHA,XV,SOLA,187.97185034054607,single-taper,False,,0.8003731343283582,1608,0,0.0,,0,33,1620.0,9.051696331258517e-13,420.1153109073639,
XV,LAHA,XV,TANS,530.1734538375553,FastMspec,False,,0.9323843416370107,281,0,0.0,,0,33,3315.0,0.0039011660502000917,1198.5246405601501,
XV,LAHA,XV,TANS,530.1734538375553,Mspec,False,,0.9936305732484076,157,0,0.0,,0,33,,,1498.9949855804443,
